DIS_CODE;SUBJECT;RESULT;AUTHOR;KEYWORDS;
06.1.6.138.18;Биотехнология и биохимия вкуса, цвета и аромата в мясных технологиях;0;Максим;Оборудование для определения цвета, Формы миоглобина, Структура миоглобина, Неустойчивость миоглобина, Формирование цвета мясопродуктов прошедших тепловую обработку, Пигменты в производстве мясных изделий, Формирование цвета мясных копченых изделий, Теория образования цвета, Теория образования запаха;
06.1.6.139.18;Сенсорный анализ в мясных технологиях;0;Максим;Восприятие цвета, Восприятие вкуса, Восприятие запаха, Классификация вкусов, Классификация запахов, Природа запаха, Природа вкуса и обоняния, Систематизация методов сенсорного анализа, Оценка качества продуктов, Метод сравнительной оценки качества продуктов питания, Сенсорный анализ пищевых продуктов, Организация работы дегустационной комиссии, Правила представления образцов на дегустацию;
06.1.6.140.18;Санитария и гигиена на мясоперерабатывающих предприятиях;0;Максим;Фонд нормативных документов мясной промышленности, Информационное обеспечение состояния нормативной базы, Контроль соблюдения безопасности сырья, Контроль соблюдения безопасности мясной продукции, Агрегаты для посола мяса, Многоигольчатые шприцы, Схемы тумблеров на мясокомбинатах;
06.1.6.141.18;Молекулярное моделирование биополимеров;0;Максим;Строение клетки, Структурные белки, Переработка сырья растительного и животного происхождения, Виды соединительной ткани, Характеристика мышечной ткани, Анализ побочных продуктов переработки, Гидролиз побочных и вторичных продуктов, Технологии моделирования биополимеров, Технологии применения биополимеров;
06.1.6.142.18;Инженерная реология в мясных технологиях;0;Максим;Реология, Виды дисперсий, Структурно-механические характеристики пищевых материалов, Измерение структурно-механических свойств пищевых масс, Контроль технологических процессов, Контроль качества продуктов по структурно-механическим характеристикам, Автоматизированный контроль качества продуктов;
06.1.6.143.18;Технологические расчеты в мясных технологиях;0;Максим;Технологические расчеты производства колбасных изделий, Технология производства колбасных изделий, Технология производства баночных консервов, Классификация и ассортимент консервов, Основные технологические процессы производства консервов, Технологические расчеты производства консервов, Расчет выхода готовой продукции;
06.1.6.144.18;Современные системы и концепции питания;0;Максим;История питания, Особенности национальной русской кухни, Пищеварение, Обмен веществ (метаболизм), Микробиом, Диетология, Философия питания, Пищевой рацион современного человека, Рациональное питание, Сбалансированное питание, Адекватное питание, Функциональное питание, Проблема ожирения;
06.1.6.145.18;Технологическое оборудование предприятий рыбной промышленности;0;Максим;Фонд нормативных документов рыбной промышленности, Информационное обеспечение состояния нормативной базы, Контроль соблюдения безопасности сырья, Контроль соблюдения безопасности рыбной продукции,;
06.1.6.146.18;Рациональное использование ресурсов рыбного сырья;0;Максим;Промышленная переработка ресурсов рыбного сырья, Рациональное использование вторичного сырья рыбной отрасли, Технологии переработки отходов, Ресурсосберегающие технологии, Экологически безопасные продукты на основе ресурсов рыбного сырья;
06.1.6.147.18;Методы исследования состава и свойств рыбных продуктов;0;Максим;Анализ химических компонентов продуктов животного происхождения, Свойства продуктов животного происхождения, Пищевая ценность, Качество продуктов животного происхождения, Контаминанты сырья, Определение токсичных элементов;
06.1.6.148.18;Системы менеджмента качества на рыбоперерабатывающих предприятиях;0;Максим;Управление качеством пищевой продукции, Управление безопасностью пищевой продукции, Система ХАССП, Система ИСО 9000, Система ИСО 22000;
06.1.6.149.18;Методология разработки нормативно-технической документации на рыбоперерабатывающих предприятиях;0;Максим;Нормативная и техническая документация рыбной отрасли, Требования к разработке и оформлению Технических условий, Требования к разработке и оформлению Технологических инструкций на пищевую продукцию, ГОСТ Р 51740, Функциональные пищевые продукты;
06.1.6.150.18;Проектирование предприятий рыбной отрасли;0;Максим;Проектирование промышленных предприятий, Технологическое проектирование пищевых предприятий, Классификация производственных зданий, Проектирование холодильных предприятий рыбной отрасли, Планировочные решения холодильников, Проектирование перерабатывающих предприятий рыбной отрасли, Планировочное решения проектируемого производства;
06.1.6.151.18;Стартовые культуры и закваски в рыбных технологиях;0;Максим;Исследование биохимической активности молочнокислых бактерий и бифидобактерий, Технология производства заквасок, Способы повышения потребительских свойств рыбных изделий, Стартовые культуры как фактор формирования качества рыбных изделий, Применение стартовых культур в производстве рыбных изделий, Технология производства рыбных изделий, Свойства бифидобактерий, Рыбное производство;
06.1.6.152.18;Биотехнология и биохимия вкуса, цвета и аромата в рыбных технологиях;0;Максим;Оборудование для определения цвета, Формы миоглобина, Структура миоглобина, Неустойчивость миоглобина, Формирование цвета рыбных продуктов прошедших тепловую обработку, Пигменты в производстве рыбных изделий, Формирование цвета рыбных копченых изделий, Теория образования цвета, Теория образования запаха;
06.1.6.153.18;Сенсорный анализ в рыбных технологиях;0;Максим;Восприятие цвета, Восприятие вкуса, Восприятие запаха, Классификация вкусов, Классификация запахов, Природа запаха, Природа вкуса и обоняния, Систематизация методов сенсорного анализа, Оценка качества продуктов, Метод сравнительной оценки качества продуктов питания, Сенсорный анализ пищевых продуктов, Организация работы дегустационной комиссии, Правила представления образцов на дегустацию;
06.1.6.154.18;Санитария и гигиена на рыбоперерабатывающих предприятиях;0;Максим;Фонд нормативных документов рыбной промышленности, Информационное обеспечение состояния нормативной базы, Контроль соблюдения безопасности сырья, Контроль соблюдения безопасности рыбной продукции,;
06.1.6.155.18;Инженерная реология в рыбных технологиях;0;Максим;Реология, Виды дисперсий, Структурно-механические характеристики пищевых материалов, Измерение структурно-механических свойств пищевых масс, Контроль технологических процессов, Контроль качества продуктов по структурно-механическим характеристикам, Автоматизированный контроль качества продуктов;
06.1.6.156.18;Технологические расчеты в рыбных технологиях;0;Максим;Технологические расчеты производства колбасных изделий, Технология производства колбасных изделий, Технология производства баночных консервов, Классификация и ассортимент консервов, Основные технологические процессы производства консервов, Технологические расчеты производства консервов, Расчет выхода готовой продукции;
06.1.6.159.19;Вакуумная техника;0;Максим;Режимы течения газа, Проводимость, Применение вакуума в криогенной технике, Вакуумные системы, Вакуумметрия, Вакуумные насосы, Вакуумная ректификация, Вакуумная дистилляция, Сублимационная сушка;
06.1.6.183.19;Основы научных исследований;0;Максим;Международные наукометрические базы данных, Научное исследование, Методологические основы научного знания, Правовая охрана интеллектуальной собственности, Научный доклад, Заявка на грант, Принципы построения научного текста, Подготовка научного текста к публикации,;
06.1.6.20.18;Криогенные системы и установки;0;Максим;Расчет узла ректификации воздухоразделительной установки, Получение жидкого кислорода, Получение жидкого азота, Воздухоразделительные установки комплексного разделения воздуха, Способы получения водорода, Водородные ожижительные циклы установок, Водородные рефрижераторные циклы установок, Водородные системы, Теплофизические свойства гелия, Технологии получения гелия, Гелиевые ожижительные рефрижераторные циклы установок, Специальные гелиевые рефрижераторные установки;
06.1.6.208.19;Прикладная реология пищевых систем;0;Максим;Реология, Виды дисперсий, Структурно-механические характеристики пищевых материалов, Измерение структурно-механических свойств пищевых масс, Контроль технологических процессов, Контроль качества продуктов по структурно-механическим характеристикам, Автоматизированный контроль качества продуктов;
06.1.6.21.18;Вакуумная техника;0;Максим;Режимы течения газа, Проводимость, Применение вакуума в криогенной технике, Вакуумные системы, Вакуумметрия, Вакуумные насосы, Вакуумная ректификация, Вакуумная дистилляция, Сублимационная сушка;
06.1.6.22.18;Тепломассообменные аппараты;0;Максим;Виды теплопереноса, Охлаждение, Конденсация, Десублимация, Особенности теплообмена при криогенных температурах, Разновидности рекуперативных теплообменных аппаратов, Конструкции регенераторов криогенных установок, Способы разделения газовых смесей, Виды конденсаторов-испарителей, Адсорбция, Адсорбенты, Изотермы адсорбции;
06.1.6.225.19;Основы научных исследований в пищевых биотехнологиях;0;Максим;Международные наукометрические базы данных, Научное исследование, Методологические основы научного знания, Правовая охрана интеллектуальной собственности, Научный доклад, Заявка на грант, Принципы построения научного текста, Подготовка научного текста к публикации,;
06.1.6.228.19;Биохимия вкуса, цвета и аромата пищевой продукции;0;Максим;Оборудование для определения цвета, Формы миоглобина, Структура миоглобина, Неустойчивость миоглобина, Формирование цвета мясопродуктов прошедших тепловую обработку, Пигменты в производстве мясных изделий, Формирование цвета мясных копченых изделий, Теория образования цвета, Теория образования запаха;
06.1.6.23.18;Регулирование и автоматизация криогенных машин и установок;0;Максим;Объект регулирования, Динамическая характеристика объекта регулирования, Статическая характеристика объекта регулирования, Закон регулирования, Позиционные и функциональные законы регулирования, Типовые переходные процессы автоматического регулятора, Показатели качества регулирования, Автоматический регулятор, Структурная обобщенная схема, Автоматическое измерение, Автоматическая сигнализация, Автоматическое регулирование, Автоматическая защита и блокировка, Особенности автоматизации криогенных установок.;
06.1.6.24.18;Транспортирование и хранение криогенных жидкостей;0;Максим;Виды изоляционных материалов криогенной техники, Теплофизические свойства изоляционных материалов, Методы получения изоляционных материалов, Эффективный коэффициент теплопроводности, Высоковакуумная изоляция, Определение давления газа в газгольдере, Газгольдеры постоянного объема, Трубопровод для жидких криопродуктов, Тепловая изоляция трубопровода, Условия однофазного течения жидкости, Накопление взрывоопасных примесей, Исключение выброса токсичных газов из емкостей.;
06.1.6.25.18;Объемные компрессорные и расширительные машины;0;Максим;Компрессорные машины объёмного действия, Теоретические основы сжатия газов, Типы компрессорных машин, Теоретический рабочий цикл, Действительный рабочий цикл, Теоретические основы расширения газов, Детандеры, Расширительные машины объёмного действия;
06.1.6.250.19;Рациональное использование ресурсов растительного и животного происхождения;0;Максим;Промышленная переработка сырья, Рациональное использование вторичного сырья, Технологии переработки отходов, Ресурсосберегающие технологии, Экологически безопасные продукты;
06.1.6.252.20;Основы научных исследований;0;Максим;Международные наукометрические базы данных, Научное исследование, Методологические основы научного знания, Правовая охрана интеллектуальной собственности, Научный доклад, Заявка на грант, Принципы построения научного текста, Подготовка научного текста к публикации,;
06.1.6.27.18;Криогенные машины;0;Максим;Моделирование тепловых процессов, Моделирование термодинамических процессов, Криогенные газовые машины, Криогенные турбодетандеры, Криогенные поршневые детандеры, Криогенные насосы;
06.1.6.28.18;Основы эксплуатации криогенных установок;0;Максим;Состав атмосферного воздуха, Очистка воздуха от примесей, Компрессорные машины, Расширительные машины, Блок разделения воздуха, Насосы для сжиженных газов, Газификаторы высокого давления, Нормативно-технические документы при эксплуатации криогенных установок;
06.1.6.30.18;Проектирование и эксплуатация торговых холодильных установок;0;Максим;Холодильная установка, Холодильная цепь, Выбор расчётного режима, Особенности конструкции торгового холодильного оборудования, Особенности проектирования торговых холодильных установок, Требования к размещению холодильного оборудования, Требования техники безопасности при работе с системами охлаждения, Работа торговых холодильных установок, Техническое обслуживание холодильных установок торговых предприятий;
06.1.6.31.18;Теплоиспользующие холодильные машины;0;Максим;Пароэжекторная холодильная машина, Теоретический цикл машины, Тепловой расчет цикла машины, Абсорбционная бромистолитиевая холодильная машина, Абсорбционная водоаммиачная холодильная машина;
06.1.6.32.18;Тепловые насосы и термотрансформаторы;0;Максим;Источники теплоты низкого потенциала, Парокомпрессорные тепловые насосы, Энергетическая эффективность парокомпрессорных тепловых насосов, Методика расчета комбинированного термотрансформатора, Рабочие вещества абсорбционных термотрансформаторов, Энергетическая эффективность абсорбционных термотрансформаторов;
06.1.6.33.18;Автоматизированное проектирование низкотемпературных систем;0;Максим;Методы математического моделирования термодинамических процессов, Методы математического моделирования тепломассообменных процессов, Системы автоматизированного проектирования низкотемпературного оборудования, Методы автоматизированного проектирования трубопроводных систем, Методы математического моделирования сложных низкотемпературных систем;
06.1.6.34.18;Расчет и конструирование элементов компримирования;0;Максим;Элементы компримирования холодильных машин, Классификация поршневых компрессоров, Массы движущихся частей кривошипно-шатунного механизма, Уравновешивание сил инерции в одноцилиндровом компрессоре, Динамика винтовых компрессоров холодильных машин, Развертка внешней цилиндрической поверхности винтов;
06.1.6.35.18;Введение в моделирование технических систем;0;Максим;Классификация математических моделей, Сложная техническая система, Расчет характеристик компрессорно-испарительного агрегата, 3D моделирование, Программное обеспечение для работы с 3D графикой, Специализированные CFD-среды;
06.1.6.36.18;Теплообменные аппараты низкотемпературной техники;0;Максим;Типы теплообменных аппаратов, Процессы теплообмена, Методики расчета испарителей, Методики расчета конденсаторов, Повышение эффективности теплообменных аппаратов, Методы расчета воздухоохладителей, Методы интенсификации теплообмена;
06.1.6.38.18;Установки и тепломассообменные аппараты систем жизнеобеспечения;0;Максим;Виды теплопереноса, Охлаждение, Конденсация, Десублимация, Особенности теплообмена при криогенных температурах, Разновидности рекуперативных теплообменных аппаратов, Конструкции регенераторов криогенных установок, Способы разделения газовых смесей, Виды конденсаторов-испарителей, Адсорбция, Адсорбенты, Изотермы адсорбции;
06.1.6.41.18;Тепловые насосы в системах жизнеобеспечения;0;Максим;Тепловые схемы трансформаторов теплоты, Расчет тепловой нагрузки, Выбор типа теплового насоса, Теплонасосные установки, Алгоритм расчета теплонасосной установки, Применение тепловых насосов, Алгоритм расчета комбинированных систем отопления и термостатирования;
06.1.6.56.18;Рациональное использование ресурсов растительного и животного происхождения;0;Максим;Промышленная переработка сырья, Рациональное использование вторичного сырья, Технологии переработки отходов, Ресурсосберегающие технологии, Экологически безопасные продукты;
06.2.6.11.18;Организация практико-ориентированных и научно-исследовательских работ;0;Максим;Организация научно-исследовательских работ, Выполнение научно-исследовательских работ, Организация опытно-конструкторских работ, Выполнение опытно-конструкторских работ, Управление изобретательской деятельностью на предприятии, Управление изобретательской деятельностью на предприятии, Оценка эффективности научно-исследовательских и опытно-конструкторских работ, Автоматизация системы научно-исследовательских и опытно-конструкторских работ, Ресурсное обеспечение научно-исследовательских и опытно-конструкторских работ, Метрологическое обеспечение качества продукции, Система информационного обеспечения научно-исследовательских и опытно-конструкторских работ;
06.2.6.31.18;Программируемые микроконтроллерные устройства;0;Максим;Структура цифровой системы управления, Архитектура микроконтроллера, Семейства микроконтроллеров, Архитектура типовой программы управления объектом, Программирование микроконтроллеров для задач реального времени, Цифро-аналоговое преобразования, Аналого-цифровое преобразования, Организация передачи данных по цифровым линиям связи, Сигналы тактовой частоты, Порты ввода/вывода, Прерывания;
06.2.6.39.18;Моделирование систем и объектов управления;0;Максим;Классификация математических моделей, Метод Монте-Карло, Линейные конгруэнтные генераторы, Моделирование дискретной случайной величины, Моделирование непрерывной случайной величины, Статистическая обработка результатов наблюдений, Принцип максимального правдоподобия, Статистические гипотезы, Моделирование систем массового обслуживания, Дискретно-событийное моделирование, Методы понижения дисперсии, Линейная регрессия;
06.2.6.78.18;Электроника и микропроцессорная техника;0;Максим;Сигналы, Спектры, Элементная база электроники, Схемотехника, Проектирование электронных устройств;
06.2.6.93.19;Теория решения изобретательских задач;0;Максим;Законы развития технических систем, Алгоритм решения изобретательских задач, Методы системного анализа и синтеза, Функционально-стоимостный анализ, Методы развития творческого воображения, Стандарты на решение изобретательских задач, Теория развития творческой личности, Теория развития творческих коллективов, Приемы устранения противоречий;
06.3.6.100.18;Вычислительные сети;0;Максим;Сетевые технологии, Архитектура вычислительных сетей, Сетевое оборудование, Виды коммутации, Модель OSI, Стандартизация вычислительных сетей, Технологии физического уровня, Технологии канального уровня, Семейство протоколов TCP/IP, IP-адресация, Служба доменных имен DNS, Протоколы динамической маршрутизации, Протоколы транспортного уровня, Протоколы прикладного уровня, Безопасность в сетях TCP/IP;
06.3.6.101.18;Моделирование программно-аппаратных средств;0;Максим;Математическое моделирование процессов, Математическое моделирование систем, Статистические аспекты моделирования, Системы имитационного моделирования, Технология имитационного моделирования, UML, Simulink, AnyLogic;
06.3.6.102.18;Технологии поддержки этапов жизненного цикла изделия;0;Максим;Этапы жизненного цикла изделия, Модель организации поддержки этапов жизненного цикла изделия, Средства реализации технологии поддержки этапов ЖЦИ, Системы реализации технологии поддержки этапов, Моделирование бизнес-процессов, Анализ бизнес-процессов, Реинжиниринг бизнес-процессов, Реализация технологии поддержки этапов жизненного цикла изделия, Методология технологии поддержки этапов жизненного цикла изделия;
06.3.6.104.18;Проектирование технических средств охраны;0;Максим;Концепция защиты объектов, Состав технических средств охраны, Охранные извещатели, Пожарные извещатели, Системы охранного телевидения, Системы контроля и управления доступом;
06.3.6.107.18;Методы испытаний технических средств защиты информации;0;Максим;Воздействие внешних воздействующих факторов на технические средства защиты информации, Программа испытаний, Классификация методов испытаний, Классификация ударных стендов, Методы испытаний технических средств защиты информации, Устройства для испытаний технических средств защиты информации;
06.3.6.108.18;Функциональная безопасность средств защиты информации;0;Максим;Функциональная безопасность, Управление функциональной безопасностью, Систематизация требований, Жизненный цикл информационной безопасности, Инженерия требований, Показатели функциональной безопасности, Обеспечение функциональной безопасности, Обеспечение информационной безопасности АСУ ТП;
06.3.6.109.18;Основы конструирования средств защиты информации;0;Максим;Конструирование средств защиты информации, Оформление конструкторской документации, Расчеты конструкций, Конструктивные разновидности печатных плат, Этапы проектирования печатных плат;
06.3.6.110.18;Схемотехника средств защиты информации;0;Максим;Схемотехника аналоговых устройств, Усилители электрических сигналов, Генераторы электрических сигналов, цифровой схемотехники интегралных узлов, Логические элементы на биполярных транзисторах, Логические элементы на МОП транзисторах, Функциональные устройства на МОП структурах, Интегральные цифро-аналоговые, Аналого-цифровые преобразователи, Программные средства разработки электронных схем;
06.3.6.111.18;Технологии построения специализированных систем автоматизированного проектирования;0;Максим;Модель САПР, Виды обеспечения САПР, Принципы разработки САПР, Анализ предметной области, Создание базы знаний, Формирование базы проектных альтернатив, Формирование требований к САПР, Математическое обеспечение САПР;
06.3.6.172.19;Технические средства охраны;0;Максим;Концепция защиты объектов, Состав технических средств охраны, Охранные извещатели, Пожарные извещатели, Системы охранного телевидения, Системы контроля и управления доступом;
06.3.6.173.19;Система мониторинга и управление информационной безопасностью;0;Максим;Политика безопасности, Организация информационной безопасности, Управление активами, Персонал по обеспечению безопасности, Защита от воздействия окружающей среды, Управление средствами коммуникаций, Контроль сетевого доступа, Контроль доступа к операционной системе, Контроль доступа к информации, Требования к безопасности информационных систем, Управление инцидентами информационной безопасности;
06.3.6.177.19;Разработка информационных систем в защищенном исполнении;0;Максим;Классификация информационных систем, Архитектура информационных систем, Руководящий документ ФСТЭК, Информационная безопасность информационных систем, Автоматизированная система защиты информации, Python, Разработка серверной части информационных систем, Объектно-ориентированное программирование, Разработка клиентской части информационных систем, HTML, CSS;
06.3.6.185.19;Конструирование средств защиты информации;0;Максим;Конструирование средств защиты информации, Оформление конструкторской документации, Расчеты конструкций, Конструктивные разновидности печатных плат, Этапы проектирования печатных плат;
06.3.6.27.18;Представление данных;0;Максим;Абстрактные типы данных, Список, Стек, Очередь, Отображение, Дерево, Множество, Словарь, Специальные методы представления множеств;
06.3.6.94.18;Основы системного программирования;0;Максим;Функциональная организация вычислительной машины, Структурная организация вычислительной машины, Архитектура ЭВМ, Виды программного обеспечения, Системное программное обеспечение, Язык программирования ассемблер, Работа с внешними устройствами, Резидентные программы, Обработчики прерываний;
06.3.6.95.18;Основы разработки программно-аппаратных средств;0;Максим;Программно-аппаратные средства обеспечения информационной безопасности, Методы обеспечения информационной безопасности, Программно-аппаратные средства защиты от несанкционированного доступа, Оценка эффективности средств защиты информации, Разработка автоматизированных систем управления объектами, Анализ состояний объекта управления, Архитектура автоматизированной системы, Реализация алгоритмов взаимодействия модулей автоматизированной системы;
06.3.6.96.18;Интеллектуальные технологии средств защиты информации;0;Максим;Онтологии, Диаграммы потоков данных, Нейронные сети, Нотации IDEF, Событийные цепочки процессов, Байесовские сети доверия, Диаграммы деятельности, Диаграммы последовательностей, Сети Петри, Кусты событий;
06.3.6.97.18;Технологии разработки информационных систем в защищенном исполнении;0;Максим;Классификация информационных систем, Архитектура информационных систем, Руководящий документ ФСТЭК, Информационная безопасность информационных систем, Автоматизированная система защиты информации, Python, Разработка серверной части информационных систем, Объектно-ориентированное программирование, Разработка клиентской части информационных систем, HTML, CSS;
06.3.6.98.18;Сквозное проектирование программно-аппаратных средств;0;Максим;Системы автоматизированного проектирования (САПР), САПР программно-аппаратных средств, Сквозное проектирование, Выбор САПР, Методы сквозного проектирования программно-аппаратных средств, CAD;
06.5.6.50.18;Правовые основы интеллектуальной собственности;0;Максим;Охрана интеллектуальной собственности авторским правом, Охрана изобретений и полезных моделей в РФ, Охрана промышленных образцов в РФ, Правовая охрана программ ЭВМ, Охрана средств индивидуализации в РФ, Служебная интеллектуальная собственность, Патентная информация и документация, Международная система интеллектуальной собственности, Обеспечение правовой охраны промышленной собственности за рубежом, Распоряжение правами на интеллектуальную собственность, Экономика интеллектуальной собственности;
06.6.6.10.18;Адаптивный web-дизайн;0;Максим;JavaScript, CSS, HTML, CSS фреймворки, CSS3 и TypeScript, Менеджеры задач, Инструменты сборки, Менеджеры зависимостей, JavaScript фреймворки, Cистема контроля версий git;
06.6.6.105.20;Проектирование интеллектуальных мобильных приложений;0;Максим;Процесс проектирования, Моделирование, Графическое представление проектируемых процессов, Проектная документация, Представление результатов проектирования;
06.6.6.12.18;Управление качеством разработки программного обеспечения;0;Максим;Модели зрелости (СММ), Жизненный цикл ПО, Критерии качества ПО, Обеспечение функциональности ПО, Обеспечение надежности ПО, Обеспечение легкости применения ПО, Обеспечение эффективности ПО, Обеспечение сопровождаемости ПО, Обеспечение мобильности ПО, Модели качества, Управление качеством проекта, Тестирование и отладка ПО, Сертификация ПО;
06.6.6.13.18;Метрология и требования стандартизации в мобильных и сетевых приложениях;0;Максим;Валидация требований к качеству обслуживания, Тестирование удобства использования мобильных приложений, Тестирование в облаке, Тестирование на основе эмуляции, Стандарты web-приложений, Кроссбраузерная совместимость, Стандарты мобильных приложений, Оценка качества безопасности мобильного приложения;
06.6.6.14.18;Проектирование мобильных и сетевых приложений;0;Максим;Процесс проектирования, Моделирование, Графическое представление проектируемых процессов, Проектная документация, Представление результатов проектирования;
06.6.6.15.18;Тестирование мобильных и сетевых приложений;0;Максим;Статический анализ кода, Уровни покрытия программного кода, Тестовое окружение, Регрессионное тестирование, Критерии выбора тестов, Разновидности тестирования, Система отслеживания ошибок, Методы создания автоматизированных тестов, Модели качества, Модели зрелости (СММ);
06.6.6.3.18;Качество программного обеспечения;0;Максим;Модели зрелости (СММ), Жизненный цикл ПО, Критерии качества ПО, Обеспечение функциональности ПО, Обеспечение надежности ПО, Обеспечение легкости применения ПО, Обеспечение эффективности ПО, Обеспечение сопровождаемости ПО, Обеспечение мобильности ПО, Модели качества, Управление качеством проекта, Тестирование и отладка ПО, Сертификация ПО;
06.6.6.96.19;Управление качеством разработки мобильных и сетевых приложений;0;Максим;Модели зрелости (СММ), Жизненный цикл ПО, Критерии качества ПО, Обеспечение функциональности ПО, Обеспечение надежности ПО, Обеспечение легкости применения ПО, Обеспечение эффективности ПО, Обеспечение сопровождаемости ПО, Обеспечение мобильности ПО, Модели качества, Управление качеством проекта, Тестирование и отладка ПО, Сертификация ПО;
06.7.6.149.18;Программируемая электроника;0;Максим;Цифровая абстракция, Системы счисления, Конечные автоматы, Архитектура ПЛИС, Языки описания аппаратуры, Моделирование логических схем, Modelsim, Отладка в режиме реального времени, Временной анализ логических схем, TimeQuest, Микроархитектура процессора;
06.7.6.156.19;Программируемая электроника;0;Максим;Цифровая абстракция, Системы счисления, Конечные автоматы, Архитектура ПЛИС, Языки описания аппаратуры, Моделирование логических схем, Modelsim, Отладка в режиме реального времени, Временной анализ логических схем, TimeQuest, Микроархитектура процессора;
06.7.6.160.19;Введение в квантовую информатику;0;Максим;Вычислительные системы, Квантовые объекты, Квантовая суперпозиция, Квантовые алгоритмы, Квантовая информация, Квантовые компьютеры, Квантовые вычисления;
06.7.6.164.19;Функциональные оптические материалы;0;Максим;Интегрально-оптические приборы в оптоинформатике, Тонкие сегнетоэлектрические пленки, Физические эффекты приборов функциональной фотоники, Тонкие пленки магнитооптических материалов, Методы получения тонких пленок силицида, Методы получения тонких пленок германата висмута, Стеклообразные полупроводники, Пленки из нанокомпозиционных материалов, Люминесценция;
06.7.6.167.19;Наноматериалы и нанотехнологии;0;Максим;Физика малых частиц, Наноструктурные объекты, Наноплазмоника, Физические взаимодействия в наноразмерном окружении, Экспериментальные методы синтеза наночастиц, Нанотехнологии в биомедицине, Наноматериалы;
06.7.6.168.19;Моделирование оптических материалов и процессов;0;Максим;Дискретное преобразование Фурье, Теорема Котельникова, Эффект Гиббса, Численные методы решения ОДУ, Задача Коши для ОДУ, Процедуры Рунге, Численные методы решения ОДУ в частных производных, Моделирование распространения коротких лазерных импульсов, Метод расщепления Фурье;
06.7.6.169.19;Программирование на языках высокого уровня;0;Максим;Объектная модель Java, Основы объектно-ориентированного программирования, Объявление и структура классов, Настройка среды разработки ПО, Абстрактные классы, Интерфейсы, Обработка исключений, Синхронизация доступа к разделяемым ресурсам, Блокировка ресурса, Создание многопоточного приложения;
06.7.6.170.19;Основы проектирования систем оптоинформатики;0;Максим;Методы решения изобретательских задач, Методы оптимизации в фотонике, Статистические методы, Структурный анализ, Крепление оптических деталей, Внешняя отделка оптических приборов, Критерии надежности конструкций;
06.7.6.182.19;Основы молекулярной фотоники;0;Максим;Теория поглощения света, Строение молекул, Виды движения в молекулах, Спектроскопия молекул, Люминесценция, Перенос энергии электронного возбуждения, Безызлучательные переходы;
