id,name,value,source,author_id,domain_id
26673,Бизнес-архитектура,0,"",,17
26672,ИТ архитектура,0,"",,17
26671,Освоение разработки User Stories,1,"",,28
26670,Освоение разработки Use Cases,1,"",,28
26669,Освоение разработки аппаратных UI,1,"",,28
26668,Освоение разработки программных UI,1,"",,28
26667,Освоение обеспечения отказоустойчивости UI,1,"",,28
26666,Освоение анализа предметной области,1,"",,28
26665,Освоение UX accessibility,1,"",,28
26664,Освоение методов построения доказательной базы UX,1,"",,28
26663,Освоение дизайна UX,2,"",,28
26662,Possibilities of augmented reality technology,1,"",,17
26661,Augmented reality,1,"",,17
26660,VR development in Unity,1,"",,17
26659,AR/VR technology,1,"",,17
26658,"Современные информационно-коммуникационные и интеллектуальные компьютерные технологии, инструментальные среды,	программно-технические платформы",0,"",,17
26657,Cloud computing services,2,"",,17
26656,Cloud computing,1,"",,17
26655,Сloud computing,0,"",,17
26654,Computer technology,3,"",,17
26653,"Математические, естественно-научные и технические методы для	решения	основных, нестандартных  задач  создания  и применения искусственного интеллекта",0,"",,17
26652,FEM in 2D and 3D cases,1,"",,20
26651,FEM in one-dimensional problems,1,"",,20
26650,Hooke's law,1,"",,20
26649,История культуры. Часть 1,1,"",,31
26648,Инновации в бизнес-моделях,1,"",,283
26647,Анализ потребителей,1,"",,283
26646,Проблемы рынка Foodtech,2,"",,283
26645,Тренды в области Foodtech,2,"",,283
26644,Байесовские методы,1,"",,17
26643,"Basic concepts, goals and objects of certification.",1,"",,24
26642,Complexes of standards.,1,"",,24
26641,International system of standardization,1,"",,24
26640,Анализ результатов экспериментов,1,"",,37
26639,Проверка научных гипотез,1,"",,37
26638,Проведение литературного обзора,1,"",,37
26637,Естественнонаучное мышление,1,"",,37
26636,Формулировка проблемы исследования,0,"",,37
26635,Методы эмпирических исследований,0,"",,37
26634,Методы теоретических исследований,3,"",,37
26633,Критерии значимости и доверительные интервалы,1,"",,37
26632,Measuring instruments,1,"",,412
26631,Критический анализ проекта,1,"",,19
26630,Язык шаблонизации JSX,1,"",,17
26629,Язык шаблонизации ОЫЧ,0,"",,17
26628,digital business transformation,1,"",,17
26627,Approaches to digital transformation and stages,1,"",,17
26626,Digital control through data,1,"",,17
26625,digital transformation,1,"",,17
26624,Диагностика бизнеса,1,"",,17
26623,Цели и задачи цифровой трансформации бизнеса,1,"",,17
26622,Подходы к цифровой трансформации и этапность,1,"",,17
26621,Цифровое управление через данные,1,"",,17
26620,Scientific and technological progress,1,"",,17
26619,Industry 4.0,0,"",,17
26618,The nature of the occurrence of crises and the relationship with trends,1,"",,17
26617,Global trends,1,"",,17
26616,Predicting global trends,1,"",,17
26615,Прогнозирование глобальных трендов,1,"",,17
26614,Природа возникновения кризисов и связь с трендами,1,"",,17
26613,Индустрия 4.0,0,"",,17
26612,Команда разработки ИТ продукта,1,"",,17
26611,Этапы разработки ИТ продукта,1,"",,17
26610,ИТ продукт,0,"",,17
26609,Инструменты описания бизнес-процессов,1,"",,17
26608,Подходы к мониторингу и управлению бизнес-процессов,1,"",,17
26607,Подходы к оптимизации бизнес-процессов,1,"",,40
26606,Подходы к описанию бизнес-процессов,1,"",,40
26605,Базовое понятие workflow,1,"",,40
26604,Управление процессами,0,"",,40
26603,Построение патентного ландшафта,1,"",,27
26602,формирование финансового результата организации,1,"",,40
26601,издержки предприятия и себестоимость продукции,1,"",,40
26600,устройство имущественного комплекса организации как объекта управления,1,"",,40
26599,Современные проблемы экономического функционирования предприятия,1,"",,40
26598,bpmn платформы,1,"",,17
26597,СРМ система,1,"",,17
26596,Тренды автоматизации,1,"",,17
26595,Управление ИТ разработкой,2,"",,34
26594,Управление ИТ сервисом,2,"",,34
26593,Управление ИТ проектами,2,"",,34
26592,Создание концепта,1,"",,40
26591,Информационная архитектура продукта,1,"",,17
26590,Vector and Tensor Analysis,1,"",,11
26589,Оптимизация бизнес-процессов,0,"",,17
26588,Наиболее распространенные нотации и работа в них,0,"",,40
26587,Нотация и основы описания бизнес-процессов,1,"",,40
26586,Понятие процесса и бизнес-процесса,1,"",,40
26585,Fundamentals of Financial Literacy,0,"",,40
26584,Пирамида метрик продукта,1,"",,40
26583,A systematic approach to problem solving,1,"",,40
26582,Проверка гипотез,1,"",,40
26581,Мониторинг и приемка реализации требований,1,"",,40
26580,Трассировка требований,1,"",,40
26579,Функционально-технические требования,1,"",,40
26578,Бизнес-требования,1,"",,40
26577,Разработка презентации для защиты проекта,1,"",,40
26576,Разработка финансово-экономической модели,1,"",,40
26575,Разработка дерева КПЭ,1,"",,40
26574,Разработка образа результата,1,"",,40
26573,Экономический бизнес-анализ,1,"",,40
26572,ПИД-регуляторы промышленных систем,2,"",,17
26571,Программирование человеко-машинных интерфейсов,1,"",,17
26570,Продуктовый бизнес-анализ,1,"",,40
26569,Применение бизнес-анализа в различных видах задач,1,"",,40
26568,Международная методология BABOK,1,"",,40
26567,Метрика продукта,1,"",,17
26566,"Методы, основанные на синхротронном излучении",1,"",,20
26565,Характеристики синхротронного излучения,2,"",,20
26564,Правила поведения на синхротронном источнике,1,"",,20
26563,Источники синхротронного излучения,2,"",,20
26562,Свойства синхротронного излучения,2,"",,20
26561,Applicatiion of nano- and biomaterials,1,"",,412
26560,Основы релятивистской механики,1,"",,20
26559,Методы проведения научных исследований,0,"",,37
26558,HR-менеджмент,1,"",,283
26557,Корпоративный менеджмент,1,"",,283
26556,Методы определения характеристик материалов,1,"",,117
26555,Управление карьерой,2,"",,30
26554,Конфликтология,0,"",,30
26553,Настройка каналов эффективного взаимодействия и обмен ресурсами с указанными структурами,1,"",,283
26552,Основы деятельности академических и некоммерческих организаций,1,"",,283
26551,Структура и функционал органов государственной власти,1,"",,283
26550,Определение структуры и свойств наноматериалов,1,"",,117
26549,Planning and dispatching,1,"",,17
26548,Cybersecurity systems,1,"",,180
26547,Навык дизайна мероприятия в сфере исследований культуры,2,"",,30
26546,Навык картографирования дискуссии в поле истории и философии культуры,2,"",,19
26545,Навык поиска и стркутурирования информации о текстах отдельных исторических фигур,1,"",,30
26544,Навык аналитического письма в форме эссе,2,"",,30
26543,Навык сбора информации и создания презентаций,2,"",,30
26542,Discrete automatic control systems,1,"",,24
26541,Fundamentals of programming high-level control systems,1,"",,24
26540,Модификация существующих методов исследования,0,"",,19
26539,Модификация существующих методов исследования,1,"",,17
26538,English,11,"",,26
26537,Click reactions,1,"",,24
26536,Steric effects,1,"",,24
26535,Inductive effect and field effec,1,"",,24
26534,Типы и структуры математических моделей,1,"",,17
26533,Результаты моделирования,1,"",,17
26532,Методы и инструменты математического обеспечения прогнозирования,1,"",,17
26531,Системы прогнозирования,1,"",,17
26530,Форензика,1,"",,401
26529,Веб-безопасность,1,"",,401
26528,Тестирование защищенности,1,"",,401
26527,Разработка управляющих программ для оборудования с ЧПУ,0,"",,17
26526,Микрооптические системы,1,"",,37
26525,Микроаналитические системы,1,"",,37
26524,Аналитические и численные решения,1,"",,17
26523,Лазерные технологии в микроэлектронике,1,"",,37
26522,Обработка данных,0,"",,20
26521,информационные системы,0,"",,20
26520,Задача и процесс измерения.,1,"",,20
26519,Fabrication of nano- and biomaterials,1,"",,37
26518,Сформировать знания по правилам построения и чтения чертежей,1,"",,28
26517,Умение вырабатывать рекомендации в адрес качества городской среды на основании анализа ее восприятия,1,"",,17
26516,Умение применять инструменты картирования на основании цифрового следа,1,"",,17
26515,Умение применять инструменты культурного картирования,1,"",,17
26514,Умение применять инструменты эмоционального картирования,1,"",,17
26513,Умение применять инструменты партисипаторного картирования,1,"",,17
26512,Умение разрабатывать дизайн исследования субъективного качества городской среды,1,"",,19
26511,Цифровой продукт,0,"",,17
26510,Адаптация нового сотрудника,1,"",,40
26509,Позитивная обратная связь в команде,1,"",,40
26508,Коммуникации в удаленной команде,1,"",,40
26507,Роли в команде,1,"",,40
26506,Команда,1,"",,40
26505,Developing a research paper structure,1,"",,30
26504,Наставничество в команде,2,"",,40
26503,Дашборд,1,"",,17
26502,Канал трафика,1,"",,17
26500,Анализ данных в Google-таблицах,0,"",,17
26499,Анализ данных в Excel,2,"",,17
26498,Интеграция бизнес-процессов,0,"",,17
26497,Nocode – сервисы для создания мобильных приложений,0,"",,17
26496,Архитектура nocode решений,3,"",,17
26495,Чат-бот,2,"",,17
26494,Контент,0,"",,33
26492,Таргетированная реклама,1,"",,40
26491,CJM - путь взаимодействия клиента с продуктом,1,"",,40
26490,Триггерная коммуникация,0,"",,40
26489,Метрика юнит-экономики,2,"",,40
26488,Воронка продукта,1,"",,40
26487,Карточная сортировка,0,"",,17
26486,Customer Journey Map,1,"",,17
26485,Сегментация пользователей,3,"",,17
26484,Проверка гипотез с помощью интервью,1,"",,40
26483,Сценарий пользовательского исследования,1,"",,40
26482,Формулирование гипотез,2,"",,40
26481,Канбан-система,1,"",,40
26480,Продуктовый подход,9,"",,40
26479,Гипотеза,5,"",,40
26478,Модель монетизации продукта,0,"",,40
26477,Модель Lean Canvas,1,"",,40
26476,Цифровая бизнес-модель,1,"",,40
26475,Финансовый отчет,1,"",,40
26474,Финансовая модель,1,"",,40
26473,Метрика,2,"",,40
26472,Программирование роботов,1,"",,61
26471,Социологические методы городских исследований,1,"",,19
26470,Типология городских территорий,1,"",,19
26469,Методы анализа общественных пространств,2,"",,19
26468,Базовые понятия и концепции урбанистики,1,"",,19
26467,Оформление отчетной документации,6,"",,37
26466,Языки запросов к информационным системам,1,"",,17
26465,Кодирование структурированных данных,2,"",,17
26464,Literature review and patent search,2,"",,37
26463,Verification of results,2,"",,37
26462,Experimental studies,2,"",,37
26461,Modeling of technical systems,2,"",,37
26460,Верификация результатов исследования,4,"",,37
26459,Экспериментальное исследование объектов,5,"",,37
26458,Моделирование технических объектов,0,"",,37
26457,Надёжность систем хранения данных,1,"",,14
26456,Научно-популярный контент,2,"",,37
26455,Эксплейнер,0,"",,37
26454,Метафора,3,"",,37
26453,Экологические основы планирования развития территорий,1,"",,25
26452,Градостроительная экология,0,"",,25
26451,Основы территориального планирования,2,"",,17
26450,Open Science Hardware,2,"",,37
26449,"способность воспринимать межкультурное разнообразие общества и историческое своеобразие науки в социально-историческом, этическом и философском контекстах",1,"",,19
26448,аргументированно высказывать собственную позицию по классическим и актуальным проблемам философии науки,1,"",,19
26447,способность анализировать гуманитарные проблемы в научных исследованиях,1,"",,19
26446,формирование системного критического мышления,1,"",,19
26445,работа с текстами профессиональной направленности,1,"",,19
26444,"Microsoft Word, Excel, Power Point",2,"",,21
26443,Научный подход в профессиональной деятельности,1,"",,19
26442,Basic PC skills,2,"",,21
26441,Русский язык в сфере академической деятельности,1,"",,26
26440,Письменный русский язык,1,"",,26
26439,Устный русский язык,1,"",,26
26438,Spectral devices,2,"",,413
26437,Discrete mathematical modeling,1,"",,11
26436,The classical scheme for calculating probabilities,1,"",,11
26435,"Writing scientific reports, preparation of oral and poster presentations",4,"",,413
26434,Presentation of work results using presentations,4,"",,413
26433,Глобальные технологические тренды,0,"",,25
26432,Световые приборы,3,"",,56
26431,Classic probability calculation scheme,0,"",,11
26430,Пространственные данные / Spatial data,1,"",,74
26429,Цифровые индикаторы / Digital indicators,1,"",,74
26428,Системный анализ объектов управления / System analysis of management objects,1,"",,74
26427,Анализ и проектирование на UML / Analysis and design in UML,1,"",,74
26426,Предел и непрерывность функции одной переменной,0,"",,11
26425,Дифференцирование функции нескольких переменных,0,"",,11
26424,Level of language proficiency A2,0,"",,26
26423,Интуиционистская  логика,3,"",,11
26422,Аналитическая геометрия,0,"",,17
26421,Методы градостроительного анализа,1,"",,19
26420,Методологические основы и методические принципы территориального планирования,2,"",,19
26419,Нормативная правовая база территориального планирования и пространственного развития субъектов Российской Федерации и муниципальных образований,2,"",,19
26418,Теория градостроительства,2,"",,17
26417,Экономическая география,1,"",,25
26416,Радиофизика,2,"",,20
26415,Фурье-анализ,2,"",,20
26414,Resource virtualization,1,"",,401
26413,Workstation virtualization,1,"",,401
26412,Types of virtualization,1,"",,401
26411,Virtualization,1,"",,401
26410,Network Functions Virtualization,1,"",,401
26409,умение анализировать причины ошибок в получении МР-изображений,1,"",,20
26408,умение выбирать необходимую методику МР-сканирования под имеющиеся задачи,1,"",,20
26407,Квантовая радиофизика,-1,"",,20
26406,"Освоение ОС  iOs, iWatch, iTV в сопровождении с поддержкой screen reader Voiceover",1,"",,17
26405,Освоение ОС  Android в сопровождении с поддержкой screen reader Jieshuo,1,"",,17
26404,Освоение ОС  Android в сопровождении с поддержкой screen reader Talkback,1,"",,17
26403,Освоение ОС  Linux в сопровождении с поддержкой screen reader espeakup,1,"",,17
26402,Освоение ОС  Linux в сопровождении с поддержкой screen reader orca,1,"",,17
26401,Освоение ОС  Windows в сопровождении с поддержкой screen reader NVDA,1,"",,17
26400,Освоение ОС  Windows в сопровождении с поддержкой screen reader,0,"",,17
26399,Voice Over,0,"",,17
26398,Talk Back,1,"",,17
26397,Orca,1,"",,17
26396,NVDA (non Visual Dekstop Access),1,"",,17
26395,JAWS,1,"",,17
26394,wai aria,1,"",,17
26393,Графический интерфейс пользователя,1,"",,17
26392,Теория распознавания образов,1,"",,14
26391,Оптическое распознавание символов,1,"",,17
26390,screen reader,0,"",,17
26389,api access technologys,1,"",,17
26388,at-spi,1,"",,17
26387,Accessibility Tree,1,"",,17
26386,Предварительная защита ВКР,0,"",,17
26385,Сбор материалов для отчета,0,"",,17
26384,Освоение ОС  Windows в сопровождении с поддержкой screen reader Jaws,2,"",,17
26383,культурологическая составляющая перевода,2,"",,26
26382,стилистика перевода,1,"",,26
26381,приемы и техники перевода,1,"",,26
26380,коммуникативные задачи перевода,1,"",,26
26379,"Оценивать найденную информацию, а так же использовать ее для расширения своего научного мировоззрения",2,"",,17
26378,"Использовать соответствующие методы машинного обучения в интеграционном решении, применять методы и алгоритмы и их комбинации для достижения наилучшего результата, применять методы и средства оценки сложности, трудоемкости и сроков выполнения работ",2,"",,17
26377,"Группа, кольцо, поле, алгебраическая структура",1,"",,17
26376,Текстовые и графические материалы в отчете,0,"",,17
26375,Систематизация и оценка информации по практике,0,"",,17
26374,Заполнение индивидуального задания,0,"",,17
26373,Выполнение индивидуального задания,0,"",,17
26372,управление динамическим процессом,0,"",,11
26371,вектор Шепли,1,"",,11
26370,С-ядро,1,"",,11
26369,характеристические функции,1,"",,11
26368,равновесие в доминирующих стратегиях,1,"",,11
26367,оптимальность по Слейтеру,2,"",,11
26366,равновесие Нэша,2,"",,11
26365,оптимальность по Парето,0,"",,11
26364,графический метод решения матричных игр,1,"",,11
26363,сведение матричной игры к задаче линейного программирования,1,"",,11
26362,равновесные стратегии,0,"",,11
26361,равновесные стратегии игроков,1,"",,11
26360,Принцип минимакса,2,"",,11
26359,Работа с научно-технической литературой,0,"",,17
26358,Фасилитация,2,"",,30
26357,Проведение совещаний,3,"",,30
26356,Коммуникация в мессенджерах,2,"",,30
26355,Деловой этикет,2,"",,30
26354,Многопоточное программирование на C++,1,"",,50
26353,Многопоточное программирование на Python,1,"",,20
26352,"Знание и навыки построения и применения эффективных Гамильтонианов и метода огибающих волновых функций для описания свободных и связанных состояний электронов, дырок и экситонов",2,"",,20
26351,Электронная зонная структура,2,"",,20
26350,Методы обработки и анализа сигналов в ЯМР спектроскопии,1,"",,20
26349,Статистический анализ двумерных данных,1,"",,20
