id;description
4411;Целью освоения дисциплины является изучение студентами методов неразрушающего контроля материалов и изучения теоретических принципов работы оборудования для проведения неразрушающего контроля. Изучение дисциплины позволит студентам овладеть необходимыми знаниями и умениями по правильному выбору методов неразрушающего контроля, которые являются основой профессиональной деятельности специалиста в производственно-технологическом и научно-исследовательском направлении.
4417;Цель учебной дисциплины - формирование системы знаний, направленных на приобретение студентами навыков и умений, связанных с эксплуатацией систем автоматического управления, выбором технических средств автоматизации и законов регулирования, методов и способов измерения технологических параметров, определением метрологических характеристик приборов и средств автоматизации, необходимых для осуществления профессиональной деятельности.
4525;В результате освоения курса студенты получат представление об основных методах алгебры, смогут использовать и проверять алгебраические соотношения в прикладных математических задачах, ориентироваться в основных алгебраических структурах и видеть связи между ними. Узнают о свойствах объектов основных алгебраических структур, выработают навык обращения с объектами линейного пространства (точки, прямые, плоскости, квадратичные кривые и поверхности) научатся использовать линейные преобразования и исследовать структуру пространств на которых они действуют. Также слушатели получат представление о базовых понятиях аналитической геометрии – векторе, прямой, плоскости, кривой 2 порядка, поверхности 2 порядка, аффинном преобразовании, познакомятся с их свойствами и научатся применять эти свойства при решении задач.
4541;Курс нацелен на формирование у обучающихся компетентности в области математического моделирования с использованием аппарата математического программирования и комбинаторной оптимизации
4547;"Курс посвящен основам современных платформ мобильных устройств, анализу и тестированию мобильных приложений, методам криптографической защиты в мобильных устройствах и системах беспроводной связи. 

Основные цели курса: обзор методов защиты мобильных устройств, изучение основных категорий угроз для мобильных устройств, выбор программно-аппаратных средств для анализа мобильных устройств."
4548;"Дисциплина направлена на формирование у обучающихся теоретических представлений и практических навыков в области управления разработкой требований к программному обеспечению.
Обучающиеся освоят теоретический базис в части принципов выявления, разработки, документирования, изменения и планирования требований в ИТ-проектах, изучат методы и средства разработки требований для решения прикладных задач, приобретут практические навыки самостоятельного выявления, разработки, документирования, изменения и планирования требований в ИТ-проектах."
4551;"В рамках изучения дисциплины ""Моделирование процессов производства изделий из полимерных материалов"" уделяется внимание роли компьютерного моделирования в рамках цифрового производства, методам изготовления деталей из полимерных материалов, способам моделирование процессов литья под давлением и его роль на этапах ТПП, а также анализу данных моделирования и принятие конструктивно-технологических решений при проектировании деталей и приборов. Также в ходе освоения дисциплины обучающиеся познакомятся с принципами применения проектной деятельности в рамках жизненного цикла продукта."
4578;Цель - изучение практики применение устройств КИПиА на предприятиях ТЭК, принципов и методов построения анализаторных систем для процессов ТЭК, требований предъявляемых к оборудованию, устанавливаемому во взрывоопасных зонах, а также правил общей промышленной безопасности, принципов и основ технологических процессов, принципов построения АСУ ТП или систем противоаварийной защиты, физических и физико-химических методов измерения приборов и датчиков, освоение расчетных методов для решения задач по построению анализаторных систем и комплексов.
4615;Дисциплина включает теоретическое изучение и применение на практике подходов к анализу текстовых данных для систем информационного поиска. Разбирается архитектура систем информационного поиска и классические задачи, решаемые подобными системами: исправление поискового запроса, поиск релевантных документов, ранжирование. Затрагиваются вопросы формирования рекомендаций.
4617;Курс нацелен на формирование у обучающихся компетентности в области математического моделирования в специфике анализа культурной сферы
4619;"В курсе изучаются два раздела Предобработка данных в социологии и психологии и Количественный анализ и визуализация данных
В первом разделе делается акцент на специфику сбора данных в социологии и психологии, концепции измерения признаков и показателей, формирования и ремонта выборки. Анализируются принципы визуализации для разных типов данных, возможные ошибки и искажения при визуализации.
Во втором разделе внимание уделяется наиболее распространенным видам анализа социологических и психологических данных, грамотной визуализации и интерпретации результатов. В частности, рассматриваются регрессионный, дисперсионный, факторный анализ, таблицы сопряженности признаков.
Практические задания выполняются в сервисе https://www.jamovi.org/ (открытый код на R) с использованием реальных данных, в т.ч. RLMS-HSE."
4641;В рамках дисциплины студенты изучают язык программирования Python в контексте понятий дискретной математики и графовой теории. Учатся решать задачи дискретной математики в Python/R.
4857;"Информационные технологии в теплофизике (2021)

Целью преподавания дисциплины является формирование у студентов знаний основных положения технической термодинамики, принципов построения и расчета циклов низкотемпературных установок; законов тепломассопереноса, теории теплопроводности, методов расчета теплообменных аппаратов."
4960;Дисциплина посвящена работе с базами данных
6048;"Дисциплина знакомить с понятием ""Биотехнические системы"", принципами и законами их построения, особенностями биологического и технического звеньев в БТС"
6048;"Дисциплина знакомить с понятием ""Биотехнические системы"", принципами и законами их построения, особенностями биологического и технического звеньев в БТС"
7482;В курсе будет закончено рассмотрение темы «Интегралы с параметром», введено понятие Бета- и Гамма-функции и доказаны их основные свойства. Во второй части семестра будет подробно рассмотрена теория аналитических функций: даны определения аналитической функции, доказана теорема Коши, рассмотрена теория вычетов и ее приложения. Также будут рассмотрены основы теории римановых поверхностей.
7482;В курсе будет закончено рассмотрение темы «Интегралы с параметром», введено понятие Бета- и Гамма-функции и доказаны их основные свойства. Во второй части семестра будет подробно рассмотрена теория аналитических функций: даны определения аналитической функции, доказана теорема Коши, рассмотрена теория вычетов и ее приложения. Также будут рассмотрены основы теории римановых поверхностей.
8955;В данном курсе изучаются вопросы системного программирования для ОС Linux, а именно: ввод-вывод, процессы и средства межпроцессного взаимодействия и методы параллельного программирования и передачи данных по сети
8955;В данном курсе изучаются вопросы системного программирования для ОС Linux, а именно: ввод-вывод, процессы и средства межпроцессного взаимодействия и методы параллельного программирования и передачи данных по сети
9071;"Курс «Анализ реальных сред» представляет собой интегрированную научную дисциплину, основным предметом изучения которой является применение современных инструментальных методов анализа к исследованию воды, воздуха, почв; оценке преимуществ и недостатков современных методов анализа неорганических и органических макро- и микрокомпонентов. Основная цель курса заключается в получении базовых представлений об особенностях объектов анализа; современных методов, применяемых для анализа различных реальных объектов: вод, воздуха, почв; научить подходам к выбору наиболее эффективных методов определения компонентов анализируемых объектов в соответствии с поставленной задачей; квалифицированному применению выбранных методов и методик на практике."
9319;"Дисциплина ""Проектная деятельность"" направлена на формирование у студентов общепрофессиональных и профессиональных компетенций, целенаправленное и последовательное использование практических методов проектирования, получение знаний, умений и навыков разработки проектов и программ. В рамках задач освоения модуля студентам предстоит изучить основные термины и понятия данной дисциплины, получить навыки совместной работы над проектом, а также освоить способы и приемы презентации проекта."
10417;Цель дисциплины - ознакомить обучающихся с физическими основами методов определения строения химических веществ, способами определения их содержания в различных средах и методами определения состава различных нефтей. Дать студентам представление о физических основах спектральных методов, принципах взаимодействия электромагнитного излучения с веществом, правилах отбора, позволяющих молекулам поглощать электромагнитное излучение. Дать студентам общее введение в спектроскопию и ознакомить с основными е разделами: колебательной, электронной, ядерным магнитным и электронным паромагнитным резонансом. Представить основы ионизационных методов: масс-спектрометрии и фотоэлектронной спектроскопии. Продемонстрировать применение изученных методов для определения строения органических и неорганических веществ, состава нефтей и продуктов нефтепереработки, полимеров.
10432;Данный курс представляет собой краткое введение в курс полимеров, используемых в современной медицине, начиная с обычных, стабильных полимеров. Затем рассмотрены полимеры, способные к биоразложению в человеческом организме как первой важной функции для специфического применения полимеров в медицине. Далее мы перейдем к полимерам, способным использоваться для решения специальных специфических задач. Как будет показано, полимеры используются в медицине не только как пленочные или волоконные материалы, но также могут быть использованы как клея или наноразмерные носители лекарств и других биологических материалов.
10446;Дисциплина посвящена вопросам понимания и компьютерного моделирования стационарных и нестационарных процессов, изучению подходов к созданию моделей в технологических системах и живой природе. Во время освоения дисциплины происходит обучение принципам моделирования, подходам к созданию моделей, основам языка программирования в среде математического пакета Matlab.
10449;Курс содержит основные сведения об имеющихся видах органического топлива, включая классификации топлива, основные характеристики и способы их оценки, а также сведения об основных способах переработки органических топлив в зависимости от их агрегатного состояния. Студенты изучают все стадии переработки топлива, включая стадии механической обработки, химического преобразования, полного и неполного термического преобразования и другие.
10453;"Обучающиеся на дисциплине ознакомятся с экспериментальными методами исследования физико–химических и биологических систем; теоретическими принципами и практической реализацией основных современных методов оптико–спектроскопического анализа различных физико–химических и биологических систем; основными теоретическими принципами и практической реализацией современных методов хроматографии, электрофореза, масс–спектроскопии, радиометрии и других дополнительных методов анализа различных физико–химических и биологических систем (включая различные термические, кинетические, реологические, биохимические, биологические и иные методы)."
10496;"Программа разработана для бакалавров 1-го года обучения по программе ""Индустриальные киберфизические системы"" и направлена на ознакомление студентов с основными будущей профессии."
10550;"Дисциплина изучается на 3 курсе в 5 cеместре.
Цель курса: изучение теоретических основ химической технологии, общей
химической технологии, освоение принципов системного подхода к описанию
химического производства.
В процессе изучения данной дисциплины студент расширяет и углубляет следующую компетенцию:
- способность и готовность осуществлять технологический процесс в соответствии с регламентом и использовать технические средства для измерения основных параметров технологического процесса, свойств сырья продукции."
10590;Дисциплина посвящена важному разделу физиологии, необходимому для теоретической подготовки и практической деятельности обучающихся. Изложены основные закономерности функционирования пищеварения и обмена веществ, что позволяет изучить основные механизмы и закономерности их регуляции в живом организме.
10591;Курс затрагивает вопросы нутрициологии, принципы рационального питания, пищевых компонентах и их роли в поддержании здоровья или возникновения заболеваний.
10594;Рассматривается материал, посвященный теоретическим и методическим основам дизайна и разработки продуктов питания.
10601;Курс знакомит с современными системами управления качеством пищевых и биотехнологических производств. Изложены теоретические основы управления качеством, основные методы и средства измерения параметров технологического процесса. Особое внимание уделено применению современных информационных технологий в системах автоматического управления пищевыми и биотехнологическими объектами, призванных повысить качество и безопасность в РФ.
10602;"Курс раскрывает правовые, нормативные, экономические и социальные проблемыбезопасности пищевой продукции; учит анализировать и применять методы анализа в менеджменте безопасности продукции, в том числе принципы и теоретические основы формирования безопасности продукции; учит анализировать и формировать комплексную экспертную оценку стандартной и фальсифицированной продукции в управлении безопасностью; формирует навыки производственного контроля безопасности."
10606;Курс посвящен теме современных достижений биотехнологии. Биотехнология как область знаний и динамически развиваемая промышленная отрасль призвана решить многие ключевые проблемы современности, обеспечивая при этом сохранение баланса в системе взаимоотношений «человек - природа - общество».
10607;"Изучаются организация, планирование и управление биотехнологическими производствами; практики химических и микробиологических методов обработки пищевого сырья; суть отдельных операций биотехнологических процессов, путей их интенсификации."
10608;Концепция UX (User Experience) применительно к индустрии пищевых продуктов. Динамика инноваций и опыт успешно разработанных продуктов передовых международных компаний (Heineken, Fazer, Carlsberg, Coca-Cola и др.)Концепция характеризует ощущения пользователя, взаимодействующего с продуктом, и включает множество составляющих: рациональный подход, сенсорные ощущения, эмоциональный отклик.Цель UX-подхода — улучшить степень удовлетворенности пользователя и увеличить его лояльность благодаря пользе, простоте использования и удовольствию, которое он получает в процессе взаимодействия с продуктом. Процесс создания инновационного продукта и взаимодействие с пользователем включает: конкурентный анализ, разработку новых видов пищевой продукции, которые будут ценными для определенной целевой аудитории. UX-подход отвечает за функциональное восприятие и взаимодействие пользователя с продуктом, от внешнего вида упаковки до сенсорных свойств.Частью современных тенденций развития анализа пищевого продукта является потребительская сенсорная оценка – важнейший элемент, как маркетинговых исследований, так и оценки качества продукции. Она позволяет определить предпочтения потребителей и понять, какие сенсорные характеристики продукта являются для них предпочтительными, т.е. получить информацию о впечатлении потребителя о продукте.В рамках этого предмета учащиеся получат навыки и компетенции, позволяющие пользоваться инструментами UX-подхода, опытом инноваций в разработке продуктов, методикой работы с потребительскими фокус-группами.Важную часть при освоении курса студентами будут играть практические занятия, на которых будет моделироваться среда потребитель – маркетолог – производитель. Такого рода деловые игры позволят учащимся чувствовать себя ближе к реальному взаимодействию с конечным потребителем и всей экосистемой продукции.На лабораторных работах учащимся будет предложено разработать свой инновационный продукт, изготовить его и дать предложения по продвижению товара на рынке.
